TransactionID,CustomerID,ProductCategory,TransactionAmount,SalesChannel,PurchaseDate
10001,1603,Books,2708.4459620892176,Online,2023-12-31
10002,4548,Apparel,2822.318124149852,Online,2023-09-18
10003,1784,Groceries,1935.7098056919397,Online,2023-02-25
10004,5144,Electronics,1631.7196662946965,Online,2023-07-12
10005,5458,Books,1482.8058336568338,Online,2023-01-13
10006,4326,Apparel,478.19103384921465,Online,2023-01-10
10007,2601,Groceries,530.1596374489789,Online,2023-11-25
10008,2405,Home Goods,3124.8147203303824,Online,2023-02-14
10009,2280,Electronics,2082.1338326188447,Online,2023-02-07
10010,4567,Books,1423.015440982173,Online,2023-03-04
10011,5426,Home Goods,4166.638139154862,Online,2023-08-25
10012,2113,Home Goods,3356.382456404961,Online,2023-06-22
10013,5602,Electronics,4690.773746107086,Online,2023-01-11
10014,3587,Electronics,2197.9685227541313,Online,2023-11-05
10015,4875,Electronics,2258.415264657847,Online,2023-07-25
10016,5839,Apparel,4094.2844982690913,Online,2023-10-07
10017,2349,Apparel,827.1590180134683,Online,2023-08-28
10018,1748,Electronics,1650.923469635579,Online,2023-01-07
10019,3779,Apparel,1626.7646744129472,Online,2023-09-27
10020,3652,Home Goods,4361.474520265075,Online,2023-07-17
10021,3880,Electronics,2485.928920941605,Online,2023-04-17
10022,2031,Home Goods,2731.238250816083,Online,2023-01-26
10023,4236,Apparel,1042.0570489420174,Online,2023-01-03
10024,5738,Home Goods,3880.1949116909955,Online,2023-07-03
10025,3173,Apparel,4915.065372803573,Online,2023-12-23
10026,1429,Electronics,3766.9768774448953,Online,2023-03-25
10027,4672,Apparel,1065.8789543408209,Online,2023-04-05
10028,5681,Apparel,2228.4212496582513,Online,2023-09-02
10029,3081,Groceries,1619.8074340845135,Online,2023-11-08
10030,2899,Home Goods,3145.9717244504986,Online,2023-05-19
10031,1864,Electronics,4922.126339213745,Online,2023-07-20
10032,4180,Electronics,2401.9983786596263,Online,2023-02-19
10033,3517,Electronics,190.07603868801164,Online,2023-08-01
10034,3096,Apparel,4456.776530529654,Online,2023-03-15
10035,4082,Groceries,168.26919009483,Online,2023-09-11
10036,5051,Apparel,4357.290171890618,Online,2023-05-31
10037,5843,Apparel,2694.66576995641,Online,2023-07-29
10038,4777,Electronics,2281.1901698754077,Online,2023-08-20
10039,1894,Home Goods,1139.23050991158,Online,2023-05-27
10040,4493,Electronics,4696.71998239365,Online,2023-05-08
10041,5470,Groceries,2258.2536607348698,Online,2023-11-26
10042,5063,Home Goods,3072.615909571425,Online,2023-10-05
10043,1752,Groceries,980.6107634620969,Online,2023-03-13
10044,5544,Apparel,740.795918929823,Online,2023-02-26
10045,2725,Books,2931.8743859958404,Online,2023-10-15
10046,3315,Electronics,4551.975673350281,Online,2023-06-26
10047,5773,Home Goods,4082.6924112794377,Online,2023-02-23
10048,4348,Home Goods,1817.8509514614884,Online,2023-07-31
10049,4198,Electronics,2907.2055803725366,Online,2023-06-09
10050,1334,Groceries,4924.957812301501,Online,2023-09-29
10051,3395,Home Goods,4076.8129538582357,Online,2023-01-30
10052,3433,Books,1665.4922283308601,Online,2023-10-19
10053,4069,Books,1141.7554273189517,Online,2023-01-03
10054,5946,Electronics,3835.6462119696503,Online,2023-10-09
10055,3656,Home Goods,501.12946531617115,Online,2023-06-21
10056,2366,Electronics,4914.606985261634,Online,2023-11-25
10057,1182,Electronics,1121.1090371079094,Online,2023-02-19
10058,1655,Apparel,1998.5290778844108,Online,2023-07-22
10059,1434,Books,2070.7142433623617,Online,2023-10-08
10060,1857,Apparel,2726.2572340239985,Online,2023-06-04
10061,1840,Apparel,4439.34190618838,Online,2023-12-23
10062,1847,Apparel,1949.5371855983958,Online,2023-02-16
10063,5207,Electronics,4268.812733598633,Online,2023-11-21
10064,3189,Apparel,2655.8514653695765,Online,2023-07-09
10065,1089,Apparel,4564.777619376558,Online,2023-04-01
10066,3436,Electronics,2678.413178261603,Online,2023-04-28
10067,5722,Electronics,2907.1814801044334,Online,2023-04-26
10068,2229,Apparel,666.2921791091346,Online,2023-07-21
10069,4062,Groceries,1233.925419317319,Online,2023-09-29
10070,1582,Home Goods,871.5210092097547,Online,2023-06-24
10071,2985,Apparel,491.0845265862589,Online,2023-06-27
10072,1672,Home Goods,2294.983542292557,Online,2023-05-24
10073,5494,Home Goods,1610.283332349631,Online,2023-09-01
10074,3191,Electronics,4516.7508693861555,Online,2023-02-18
10075,2323,Electronics,1076.590880984538,Online,2023-09-07
10076,4356,Apparel,3543.176665048761,Online,2023-04-15
10077,1473,Groceries,1245.3875887588713,Online,2023-07-27
10078,5744,Electronics,3448.769137232165,Online,2023-12-12
10079,2902,Groceries,3485.545316803913,Online,2023-05-04
10080,3488,Groceries,3937.7442484560256,Online,2023-10-16
10081,2735,Electronics,745.8682757776367,Online,2023-05-05
10082,3002,Apparel,2680.2771855307146,Online,2023-08-19
10083,1551,Books,1885.8006507272712,Online,2023-04-19
10084,1937,Books,557.5172193706694,Online,2023-12-18
10085,1195,Home Goods,919.9061848282615,Online,2023-06-10
10086,1991,Home Goods,883.2506412302926,Online,2023-08-12
10087,5173,Electronics,1896.1012015364233,Online,2023-02-05
10088,1570,Electronics,1474.029947918895,Online,2023-08-30
10089,1722,Groceries,3805.236485341147,Online,2023-05-01
10090,2927,Books,2319.185435199934,Online,2023-04-10
10091,2134,Books,1074.7720801884257,Online,2023-12-20
10092,2790,Home Goods,3950.9511072181776,Online,2023-08-10
10093,3813,Apparel,762.2259825878698,Online,2023-02-09
10094,5604,Apparel,501.24983444805116,Online,2023-12-13
10095,3459,Electronics,2152.3441725817065,Online,2023-03-13
10096,3147,Groceries,1733.5629879465073,Online,2023-12-21
10097,5275,Groceries,2699.3225993818783,Online,2023-01-01
10098,1619,Books,1978.8026261297605,Online,2023-10-15
10099,5544,Electronics,508.7434335979783,Online,2023-09-07
10100,3860,Home Goods,1520.3468304524902,Online,2023-08-03
10101,1915,Books,333.5197201953859,Online,2023-08-04
10102,1247,Apparel,3421.3828229011883,Online,2023-11-29
10103,4328,Apparel,3296.648053754005,Online,2023-04-07
10104,1594,Groceries,4788.651859142283,Online,2023-11-05
10105,1058,Apparel,1434.484522482346,Online,2023-03-05
10106,4486,Books,2784.746944219206,Online,2023-07-01
10107,4107,Home Goods,893.3851339262582,Online,2023-01-05
10108,3992,Home Goods,4554.645923736962,Online,2023-11-11
10109,2778,Apparel,1359.9602290332518,Online,2023-04-23
10110,3338,Electronics,4797.3845222275995,Online,2023-12-05
10111,4171,Electronics,992.4070374270336,Online,2023-10-27
10112,2471,Electronics,752.2415025524119,Online,2023-07-12
10113,1322,Home Goods,3307.69736716215,Online,2023-09-24
10114,4301,Home Goods,2778.4376879342994,Online,2023-01-23
10115,2568,Books,4630.419378215778,Online,2023-01-20
10116,4203,Apparel,1773.2829470726736,Online,2023-09-18
10117,3310,Home Goods,1854.485867419458,Online,2023-11-10
10118,3344,Apparel,804.7365874717166,Online,2023-01-08
10119,4609,Electronics,621.5909681534093,Online,2023-11-07
10120,5205,Apparel,3729.7229422497962,Online,2023-04-04
10121,3006,Apparel,1931.9691114110692,Online,2023-03-18
10122,5684,Apparel,1454.1510133187526,Online,2023-05-02
10123,5979,Groceries,659.8551143253951,Online,2023-05-05
10124,3583,Electronics,2063.220691426429,Online,2023-06-02
10125,3193,Home Goods,225.57007285749768,Online,2023-02-23
10126,4211,Books,1957.1909015510826,Online,2023-08-08
10127,1748,Apparel,1498.3799845615322,Online,2023-10-05
10128,2828,Groceries,949.5252319462546,Online,2023-06-02
10129,1477,Apparel,2607.953818623507,Online,2023-09-19
10130,4357,Electronics,1898.1512124357955,Online,2023-06-10
10131,5398,Electronics,4678.632183695658,Online,2023-07-25
10132,5766,Groceries,4195.137825125019,Online,2023-01-21
10133,1324,Electronics,3557.9385013507376,Online,2023-08-04
10134,5127,Electronics,2426.7888612396073,Online,2023-08-26
10135,5807,Electronics,3645.568223103333,Online,2023-09-11
10136,3881,Home Goods,1974.77923639169,Online,2023-06-15
10137,2395,Apparel,719.6772131169548,Online,2023-02-13
10138,5393,Books,1519.16962822305,Online,2023-10-23
10139,5993,Home Goods,3487.5528833884387,Online,2023-04-19
10140,3935,Home Goods,739.5292787672073,Online,2023-07-19
10141,4650,Home Goods,2602.6466339377457,Online,2023-11-27
10142,5719,Apparel,1582.6693428281749,Online,2023-06-11
10143,3910,Home Goods,4053.8016465140445,Online,2023-05-17
10144,3813,Home Goods,4010.595384879763,Online,2023-05-18
10145,3714,Books,3572.093567627604,Online,2023-05-31
10146,1786,Electronics,129.93151368596688,Online,2023-07-10
10147,5044,Apparel,1354.9194057612463,Online,2023-11-24
10148,4791,Apparel,3578.233621248348,Online,2023-09-21
10149,5017,Groceries,1783.0936107361006,Online,2023-03-29
10150,4718,Home Goods,1604.400495670206,Online,2023-09-13
10151,2998,Home Goods,3678.2401681297115,Online,2023-04-09
10152,2780,Home Goods,4380.409434451299,Online,2023-05-13
10153,1140,Home Goods,2880.4540294589483,Online,2023-10-09
10154,1573,Apparel,4781.82171412858,Online,2023-08-03
10155,5094,Apparel,755.4976725411543,Online,2023-05-23
10156,1023,Home Goods,2774.7509362174906,Online,2023-08-22
10157,4641,Groceries,3424.4996849878908,Online,2023-06-19
10158,4274,Home Goods,4822.708989005087,Online,2023-10-06
10159,3056,Groceries,456.83990540290273,Online,2023-12-12
10160,1327,Apparel,2473.1296477832825,Online,2023-07-16
10161,4319,Books,1839.8355536501113,Online,2023-11-09
10162,1268,Home Goods,1741.1046332267588,Online,2023-08-12
10163,4037,Apparel,2386.721089311991,Online,2023-12-26
10164,2767,Electronics,1015.6697825402968,Online,2023-09-16
10165,3710,Apparel,3706.4619928874226,Online,2023-07-24
10166,5738,Apparel,1525.3527057436147,Online,2023-09-17
10167,5153,Apparel,4161.633158122098,Online,2023-02-10
10168,4796,Groceries,2051.447360178591,Online,2023-10-12
10169,5921,Electronics,167.17059470035957,Online,2023-03-05
10170,1903,Electronics,2639.3593510061446,Online,2023-05-28
10171,5786,Apparel,911.1908256759172,Online,2023-06-26
10172,2848,Groceries,1858.7615776345015,Online,2023-08-19
10173,1506,Apparel,3194.6450941997755,Online,2023-09-14
10174,1195,Apparel,355.92389934174855,Online,2023-05-26
10175,4444,Electronics,432.3336977109004,Online,2023-06-17
10176,1050,Books,4152.707579991324,Online,2023-03-23
10177,1012,Home Goods,4236.446664443807,Online,2023-08-15
10178,3952,Books,844.1835329475365,Online,2023-10-21
10179,2207,Home Goods,1231.2157831318102,Online,2023-02-13
10180,5499,Books,1765.2155822421657,Online,2023-04-20
